Town Code,Town Name,Registered,Envelopes,Valid votes,ObÄŤanskĂˇ demokratickĂˇ strana,Ĺ�Ăˇd nĂˇroda - VlasteneckĂˇ unie,CESTA ODPOVÄšDNĂ‰ SPOLEÄŚNOSTI,ÄŚeskĂˇ str.sociĂˇlnÄ› demokrat.,RadostnĂ© ÄŚesko,STAROSTOVĂ‰ A NEZĂ�VISLĂŤ,KomunistickĂˇ str.ÄŚech a Moravy,Strana zelenĂ˝ch,"ROZUMNĂŤ-stop migraci,diktĂˇt.EU",Strana svobodnĂ˝ch obÄŤanĹŻ,Blok proti islam.-Obran.domova,ObÄŤanskĂˇ demokratickĂˇ aliance,ÄŚeskĂˇ pirĂˇtskĂˇ strana,Referendum o EvropskĂ© unii,TOP 09,ANO 2011,DobrĂˇ volba 2016,SPR-Republ.str.ÄŚsl. M.SlĂˇdka,KĹ™esĹĄ.demokr.unie-ÄŚs.str.lid.,ÄŚeskĂˇ strana nĂˇrodnÄ› sociĂˇlnĂ­,REALISTĂ‰,SPORTOVCI,DÄ›lnic.str.sociĂˇlnĂ­ spravedl.,Svob.a pĹ™.dem.-T.Okamura (SPD),Strana PrĂˇv ObÄŤanĹŻ
501476,DlouhĂˇ LouÄŤka,0,528,369,44,1,0,19,1,17,21,10,0,3,0,0,47,0,13,93,0,0,56,0,0,5,0,35,4
501646,Dolany,0,528,369,44,1,0,19,1,17,21,10,0,3,0,0,47,0,13,93,0,0,56,0,0,5,0,35,4
568392,Doloplazy,0,620,384,63,0,0,40,0,15,31,3,0,1,2,0,32,0,7,130,1,0,19,0,2,1,4,32,1
545279,DomaĹˇov nad BystĹ™icĂ­,0,620,384,63,0,0,40,0,15,31,3,0,1,2,0,32,0,7,130,1,0,19,0,2,1,4,32,1
552313,DomaĹˇov u Ĺ ternberka,0,804,555,71,0,0,33,2,25,25,4,1,11,3,0,62,0,30,164,2,1,52,0,2,1,1,62,1
501751,Drahanovice,0,804,555,71,0,0,33,2,25,25,4,1,11,3,0,62,0,30,164,2,1,52,0,2,1,1,62,1
501794,Dub nad Moravou,0,1119,720,46,1,0,63,0,28,66,8,3,8,1,0,61,0,14,214,2,2,83,1,3,7,0,100,5
552071,DubÄŤany,0,1119,720,46,1,0,63,0,28,66,8,3,8,1,0,61,0,14,214,2,2,83,1,3,7,0,100,5
501841,Grygov,0,486,323,18,1,0,16,0,11,26,5,5,10,0,0,32,0,3,139,1,0,25,0,1,1,0,26,0
552178,HaĹ�ovice,0,486,323,18,1,0,16,0,11,26,5,5,10,0,0,32,0,3,139,1,0,25,0,1,1,0,26,0
552330,HlĂˇsnice,0,1562,853,62,0,0,57,3,63,77,12,9,17,1,0,76,3,26,277,0,0,24,2,3,3,0,132,3
502146,HluboÄŤky,0,2107,1418,160,1,1,84,1,87,75,18,4,20,1,3,169,1,55,426,2,1,135,0,15,2,1,141,5
552020,HluĹˇovice,0,1063,655,71,0,0,39,2,24,42,8,5,12,3,4,44,0,14,167,0,2,104,0,5,5,3,86,0
502235,HnÄ›votĂ­n,0,1063,655,71,0,0,39,2,24,42,8,5,12,3,4,44,0,14,167,0,2,104,0,5,5,3,86,0
502405,Hnojice,0,402,208,9,0,0,19,0,6,29,1,2,1,2,0,12,0,1,73,0,0,4,0,1,0,0,46,0
502545,Horka nad Moravou,0,402,208,9,0,0,19,0,6,29,1,2,1,2,0,12,0,1,73,0,0,4,0,1,0,0,46,0
569798,HornĂ­ LodÄ›nice,0,258,139,21,0,0,8,0,2,12,0,0,0,0,0,12,0,6,54,0,0,8,0,0,0,0,16,0
546976,HraniÄŤnĂ© Petrovice,0,258,139,21,0,0,8,0,2,12,0,0,0,0,0,12,0,6,54,0,0,8,0,0,0,0,16,0
597414,HuzovĂˇ,0,1403,835,39,1,1,62,3,47,85,9,4,11,2,2,60,0,19,256,0,0,73,0,4,4,1,144,5
568872,CharvĂˇty,0,1277,778,37,4,0,71,1,27,61,6,4,13,1,2,89,2,14,242,0,1,95,0,4,0,4,93,3
502839,Cholina,0,1277,778,37,4,0,71,1,27,61,6,4,13,1,2,89,2,14,242,0,1,95,0,4,0,4,93,3
503142,JĂ­vovĂˇ,0,189,108,3,0,0,16,0,10,9,0,1,0,0,0,6,0,1,21,0,0,33,0,1,0,0,7,0
547123,KomĂˇrov,0,189,108,3,0,0,16,0,10,9,0,1,0,0,0,6,0,1,21,0,0,33,0,1,0,0,7,0
500135,Kozlov,0,1181,790,65,0,0,68,4,30,74,15,4,25,3,3,76,0,12,250,0,2,48,0,8,6,2,89,4
503304,KoĹľuĹˇany-TĂˇĹľaly,0,1181,790,65,0,0,68,4,30,74,15,4,25,3,3,76,0,12,250,0,2,48,0,8,6,2,89,4
